full_text,likes,comments,shares,total_engagement,outlier_score,hook_type,topic,angle,structure,visual_format,first_line,hook_150,hook_text,hook_visual,_source
We should have known the world was cooked when AI started posting banger 1 liners like this.  |  |  | p.s. subscribe to my newsletter for the funniest business & world news: https://lnkd.in/ekGih-Hf,2227,75,35,2337.0,,Teacher,AI/Tech industry hype,Insider satire/critique,Statement → Commentary,Meme with extended caption,We should have known the world was cooked when AI started posting banger 1 liners like this.  |  |  | p.s. subscribe to my newsletter for the funniest,We should have known the world was cooked when AI started posting banger 1 liners like this.  |  |  | p.s. subscribe to my newsletter for the funniest,We should have known the world was cooked when AI started posting banger 1 liners like this. p.s. subscribe to my newsletter for the funniest business & world news: https://lnkd.in/ekGih-Hf,Satirical meme image,top_50_kallaway
"This still might be singlehandedly the best LinkedIn meme ever made.  |  | I come back to this every couple of months. Truly god tier work, whoever made it, I applaud you.  |  | P.S. I found the culprit. Eduardo Ordax made the meme, go follow him |  | #startups #linkedin #memes |  | Subscribe to my newsletter for more memes & unhinged startup satire: https://lnkd.in/ekGih-Hf",2096,176,30,2302.0,,Teacher,LinkedIn culture critique,Insider satire/critique,Statement → Commentary,Meme with extended caption,"This still might be singlehandedly the best LinkedIn meme ever made.  |  | I come back to this every couple of months. Truly god tier work, whoever ma","This still might be singlehandedly the best LinkedIn meme ever made.  |  | I come back to this every couple of months. Truly god tier work, whoever ma","This still might be singlehandedly the best LinkedIn meme ever made. I come back to this every couple of months. Truly god tier work, whoever made it, I applaud you.",LinkedIn-specific satirical image,top_50_kallaway
People on LinkedIn after they get an online HBS certification:  |  | #startups #mba #education |  | Subscribe to my newsletter for startup satire & dank memes: https://lnkd.in/ekGih-Hf,1962,191,19,2172.0,,Teacher,LinkedIn culture critique,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,People on LinkedIn after they get an online HBS certification:  |  | #startups #mba #education |  | Subscribe to my newsletter for startup satire & da,People on LinkedIn after they get an online HBS certification:  |  | #startups #mba #education |  | Subscribe to my newsletter for startup satire & da,People on LinkedIn after they get an online HBS certification: #startups #mba #education,Celebrity at Harvard photo,top_50_kallaway
OpenAI: “we have the best AI engineers in the world”. |  | Mark Zuckerberg: “hold my beer” |  | Subscribe to my newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,1837,151,26,2014.0,,Teacher,AI/Tech industry hype,Insider satire/critique,Setup → Punchline (image),Meme with extended caption,OpenAI: “we have the best AI engineers in the world”. |  | Mark Zuckerberg: “hold my beer” |  | Subscribe to my newsletter for the funniest business a,OpenAI: “we have the best AI engineers in the world”. |  | Mark Zuckerberg: “hold my beer” |  | Subscribe to my newsletter for the funniest business a,OpenAI: “we have the best AI engineers in the world”. Mark Zuckerberg: “hold my beer”,Satirical meme image,top_50_kallaway
Billionaires in 1895: let’s use child labor. |  | Billionaires in 2025: let’s file as a non-profit then go public for $1 trillion.  |  | Too bad Rockefeller isn’t alive to see these shenanigans.  |  | P.S. subscribe to my newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,1778,155,24,1957.0,,Magician,AI/Tech industry hype,Insider satire/critique,Setup → Punchline (image),Meme with extended caption,Billionaires in 1895: let’s use child labor. |  | Billionaires in 2025: let’s file as a non-profit then go public for $1 trillion.  |  | Too bad Rocke,Billionaires in 1895: let’s use child labor. |  | Billionaires in 2025: let’s file as a non-profit then go public for $1 trillion.  |  | Too bad Rocke,Billionaires in 1895: let’s use child labor. Billionaires in 2025: let’s file as a non-profit then go public for $1 trillion.,Satirical meme image,top_50_kallaway
"If your CTO isn’t doing this on flights, your startup isn’t going to make it:  |  |  | P.S. subscribe to my newsletter for the funniest tech news: https://lnkd.in/ekGih-Hf",1670,188,15,1873.0,,Teacher,Startup leadership dynamics,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"If your CTO isn’t doing this on flights, your startup isn’t going to make it:  |  |  | P.S. subscribe to my newsletter for the funniest tech news: htt","If your CTO isn’t doing this on flights, your startup isn’t going to make it:  |  |  | P.S. subscribe to my newsletter for the funniest tech news: htt","If your CTO isn’t doing this on flights, your startup isn’t going to make it: P.S. subscribe to my newsletter for the funniest tech news: https://lnkd.in/ekGih-Hf",Relatable reaction image/meme,top_50_kallaway
"If another 21 year old startup founder tells me they’re disrupting the real estate industry I’m going to crawl into a drain pipe and wait for a flood |  | For real, why does it seem like the people who live in their parents basement & have never paid rent are always the ones trying to ‘revolutionize’ the way that we buy homes |  | It feels like the startup industry is in an episode of the twilight zone, where all the least qualified people discover the realities of life, like having to pay rent, & think it’s a problem that needs to be solved |  | I could be wrong but I think this part of tech culture started when parents began giving trophies to every sh*tty little league team in America |  | #startups #tech #founders",1494,308,21,1823.0,,Contrarian,AI/Tech industry hype,Insider satire/critique,Statement → Commentary,Meme with extended caption,If another 21 year old startup founder tells me they’re disrupting the real estate industry I’m going to crawl into a drain pipe and wait for a flood ,If another 21 year old startup founder tells me they’re disrupting the real estate industry I’m going to crawl into a drain pipe and wait for a flood,"If another 21 year old startup founder tells me they’re disrupting the real estate industry I’m going to crawl into a drain pipe and wait for a flood For real, why does it seem like the people who liv",Timeline/evolution graphic,top_50_kallaway
This pretty much sums up the state of venture capital in 2024. |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for memes & startup satire: https://lnkd.in/em99Rn5u,1646,137,23,1806.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,This pretty much sums up the state of venture capital in 2024. |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for memes & star,This pretty much sums up the state of venture capital in 2024. |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for memes & star,This pretty much sums up the state of venture capital in 2024. #startups #venturecapital #memes,Satirical meme image,top_50_kallaway
Here's how top VC firms like a16z determine what valuation to give a startup:  |  | - Cool logo: +$50M  | - Asian CTO: +$125M | - Expensive office with free snacks: +$18M | - Female CTO: -$30M | - CEO who posts on X at least 30x a day: +$90M | - Realistic financial projections: -$100B | - Coders that only wear hoodies & sandals: +$37M |  |  | p.s. subscribe to my newsletter for the funniest business & world news: https://lnkd.in/ekGih-Hf,1619,108,20,1747.0,,Magician,VC/Startup investing culture,Expectation vs reality contrast,Listicle/Breakdown,Meme with extended caption,Here's how top VC firms like a16z determine what valuation to give a startup:  |  | - Cool logo: +$50M  | - Asian CTO: +$125M | - Expensive office wit,Here's how top VC firms like a16z determine what valuation to give a startup:  |  | - Cool logo: +$50M  | - Asian CTO: +$125M | - Expensive office wit,Here's how top VC firms like a16z determine what valuation to give a startup: - Cool logo: +$50M,Relatable reaction image/meme,top_50_kallaway
"VCs: ""We invested in an AI startup that's revolutionizing the future of music"". |  | The startup: |  | #startups #venturecapital #memes |  | Subscribe to our newsletter for dank memes & startup satire: https://lnkd.in/em99Rn5u",1501,209,22,1732.0,,Fortune Teller,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"VCs: ""We invested in an AI startup that's revolutionizing the future of music"". |  | The startup: |  | #startups #venturecapital #memes |  | Subscribe","VCs: ""We invested in an AI startup that's revolutionizing the future of music"". |  | The startup: |  | #startups #venturecapital #memes |  | Subscribe","VCs: ""We invested in an AI startup that's revolutionizing the future of music"". The startup:",Tech culture meme/screenshot,top_50_kallaway
"Startup founders will be like, ""I have a really busy schedule today"".  |  | The schedule:  |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf",1489,214,18,1721.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,"Startup founders will be like, ""I have a really busy schedule today"".  |  | The schedule:  |  | #startups #venturecapital #memes  |  | Subscribe to my","Startup founders will be like, ""I have a really busy schedule today"".  |  | The schedule:  |  | #startups #venturecapital #memes  |  | Subscribe to my","Startup founders will be like, ""I have a really busy schedule today"". The schedule:",Satirical meme image,top_50_kallaway
When your CEO says a feature will be ready Q2 and it’s March 27th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf,1582,112,17,1711.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,When your CEO says a feature will be ready Q2 and it’s March 27th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more meme,When your CEO says a feature will be ready Q2 and it’s March 27th. |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more meme,When your CEO says a feature will be ready Q2 and it’s March 27th. #startups #venturecapital #memes,Relatable reaction image/meme,top_50_kallaway
"Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf",1488,161,52,1701.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for ","Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for","Whenever someone asks me if they should start a company, I send them this: #startups #venturecapital #memes",Satirical meme image,top_50_kallaway
"A company I invested in was struggling to grow its user base. |  | Their CEO called me for advice.  |  | They said, “Jack, we have a big meeting coming up with a16z & need to show rocketship growth if we want to get their money”.  |  | I told them to do the responsible thing. |  | Lie about your users.  |  | They’re an AI company, nobody even knows what AI companies do.  |  | But everyone expects AI startups to be growing like crazy.  |  | So fudging a couple of customers will go unnoticed.  |  | They ended up raising $50M.  |  | Now they’re getting free press from top news sites like TechCrunch.  |  | Once again I have proven what it means to be a value add investor. |  | #startups #venturecapital #memes",1456,202,18,1676.0,,Contrarian,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,"A company I invested in was struggling to grow its user base. |  | Their CEO called me for advice.  |  | They said, “Jack, we have a big meeting comin","A company I invested in was struggling to grow its user base. |  | Their CEO called me for advice.  |  | They said, “Jack, we have a big meeting comin",A company I invested in was struggling to grow its user base. Their CEO called me for advice.,Relatable reaction image/meme,top_50_kallaway
Big tech employees: “I’m gonna quit my $200k job and work at a startup”. |  | 6 months into working at a startup:  |  | Subscribe to my newsletter for the funniest business & tech news: https://lnkd.in/em99Rn5u,1466,186,19,1671.0,,Magician,Startup culture/reality,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,Big tech employees: “I’m gonna quit my $200k job and work at a startup”. |  | 6 months into working at a startup:  |  | Subscribe to my newsletter for,Big tech employees: “I’m gonna quit my $200k job and work at a startup”. |  | 6 months into working at a startup:  |  | Subscribe to my newsletter for,Big tech employees: “I’m gonna quit my $200k job and work at a startup”. 6 months into working at a startup:,Satirical meme image,top_50_kallaway
Send this to someone who bought Palantir last week & thinks they’re Warren Buffet:  |  | Subscribe to our newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,1467,74,11,1552.0,,Teacher,Tech/startup culture satire,Shareable callout,Setup → Punchline (image),Meme with extended caption,Send this to someone who bought Palantir last week & thinks they’re Warren Buffet:  |  | Subscribe to our newsletter for the funniest business and wor,Send this to someone who bought Palantir last week & thinks they’re Warren Buffet:  |  | Subscribe to our newsletter for the funniest business and wor,Send this to someone who bought Palantir last week & thinks they’re Warren Buffet: Subscribe to our newsletter for the funniest business and world news: https://lnkd.in/ekGih-Hf,Satirical meme image,top_50_kallaway
Men would rather go to war than build a powerpoint at Delloite.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf,1384,119,25,1528.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,Men would rather go to war than build a powerpoint at Delloite.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes ,Men would rather go to war than build a powerpoint at Delloite.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more memes,Men would rather go to war than build a powerpoint at Delloite. #startups #venturecapital #memes,Satirical meme image,top_50_kallaway
This is the last thing you see before your CEO fires 80% of your team:  |  |  | P.S. Subscribe to my newsletter to laugh about the tech industry: https://lnkd.in/ekGih-Hf,1326,160,23,1509.0,,Magician,Startup leadership dynamics,Insider satire/critique,Setup → Punchline,Text-only post,This is the last thing you see before your CEO fires 80% of your team:  |  |  | P.S. Subscribe to my newsletter to laugh about the tech industry: http,This is the last thing you see before your CEO fires 80% of your team:  |  |  | P.S. Subscribe to my newsletter to laugh about the tech industry: http,This is the last thing you see before your CEO fires 80% of your team: P.S. Subscribe to my newsletter to laugh about the tech industry: https://lnkd.in/ekGih-Hf,N/A - Text only,top_50_kallaway
"A founder friend of mine was struggling to go on dates. |  | He was a huge nerd and sucked at talking to girls.  |  | So I offered to set him up on a date in exchange for 2.5% of his company.  |  | This was an incredible deal (for him).  |  | As we all know, the purpose of starting a company is to get rich and get laid. |  | But most startup founders worth “$100M” on paper can’t even afford bottomless mimosas.  |  | So trading fake money for fake love is a bargain.  |  | I’ve done this for 100+ founders and now have over $150M worth of equity.  |  | None of them made it past a 2nd date.  |  | But getting back out there in the dating scene is worth millions.  |  | #startups #venturecapital #memes |  | Subscribe to my newsletter for more tech industry satire: https://lnkd.in/ekGih-Hf",1259,217,12,1488.0,,Magician,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,A founder friend of mine was struggling to go on dates. |  | He was a huge nerd and sucked at talking to girls.  |  | So I offered to set him up on a ,A founder friend of mine was struggling to go on dates. |  | He was a huge nerd and sucked at talking to girls.  |  | So I offered to set him up on a,A founder friend of mine was struggling to go on dates. He was a huge nerd and sucked at talking to girls.,Satirical meme image,top_50_kallaway
"If the CEO of your company makes the cover of Forbes, it’s time to look for another job:  |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf",1325,144,18,1487.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"If the CEO of your company makes the cover of Forbes, it’s time to look for another job:  |  | #startups #venturecapital #memes  |  | Subscribe to my ","If the CEO of your company makes the cover of Forbes, it’s time to look for another job:  |  | #startups #venturecapital #memes  |  | Subscribe to my","If the CEO of your company makes the cover of Forbes, it’s time to look for another job: #startups #venturecapital #memes",Relatable reaction image/meme,top_50_kallaway
YC in 2010 vs YC in 2025. |  | Can’t wait for 2030 when every YC company is a couple of 19 year old Stanford dropouts who claim to be AI experts.  |  | Subscribe to my newsletter for the funniest world and tech news: https://lnkd.in/ekGih-Hf,1386,76,23,1485.0,,Teacher,AI/Tech industry hype,Insider satire/critique,Statement → Commentary,Meme with extended caption,YC in 2010 vs YC in 2025. |  | Can’t wait for 2030 when every YC company is a couple of 19 year old Stanford dropouts who claim to be AI experts.  |  ,YC in 2010 vs YC in 2025. |  | Can’t wait for 2030 when every YC company is a couple of 19 year old Stanford dropouts who claim to be AI experts.  |,YC in 2010 vs YC in 2025. Can’t wait for 2030 when every YC company is a couple of 19 year old Stanford dropouts who claim to be AI experts.,Satirical meme image,top_50_kallaway
"This year I was selected for Forbes 30 under 30. |  | Here’s how I did it: |  | 1. I spent hours tweeting everyday & became a thought leader in my category.  |  | 2. I employed hundreds of people (if you consider unpaid interns people).  |  | 3. I sacrificed my summer vacations to network in the south of France.  |  | I want to congratulate all my fellow Forbes 30u30 winners - it takes hard work, grit, and a substantial PR budget to get here.  |  | #startups #venturecapital  |  | Subscribe to my newsletter for more tech satire: https://lnkd.in/ekGih-Hf",1271,188,10,1469.0,,Experimenter,VC/Startup investing culture,Insider satire/critique,Story → Twist → Lesson,Meme with extended caption,This year I was selected for Forbes 30 under 30. |  | Here’s how I did it: |  | 1. I spent hours tweeting everyday & became a thought leader in my cat,This year I was selected for Forbes 30 under 30. |  | Here’s how I did it: |  | 1. I spent hours tweeting everyday & became a thought leader in my cat,This year I was selected for Forbes 30 under 30. Here’s how I did it:,Parody Forbes 30 Under 30 layout,top_50_kallaway
Every engineer in San Francisco is about “get” a girlfriend. |  | (I’m shorting Bumble stock) |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for more memes & tech satire: https://lnkd.in/ekGih-Hf,1326,105,12,1443.0,,Teacher,VC/Startup investing culture,Insider satire/critique,Statement → Commentary,Meme with extended caption,Every engineer in San Francisco is about “get” a girlfriend. |  | (I’m shorting Bumble stock) |  | #startups #venturecapital #memes  |  | Subscribe to,Every engineer in San Francisco is about “get” a girlfriend. |  | (I’m shorting Bumble stock) |  | #startups #venturecapital #memes  |  | Subscribe to,Every engineer in San Francisco is about “get” a girlfriend. (I’m shorting Bumble stock),Satirical meme image,top_50_kallaway
"If you're struggling to raise money for your startup, the reality is you're ugly, but here's how you can fix that: |  | Take out a loan & get plastic surgery - debt is better than being ugly. |  | #startups #venturecapital #memes |  | Subscribe to my startup satire newsletter for memes & unhinged content: https://lnkd.in/ekGih-Hf",1125,283,31,1439.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"If you're struggling to raise money for your startup, the reality is you're ugly, but here's how you can fix that: |  | Take out a loan & get plastic ","If you're struggling to raise money for your startup, the reality is you're ugly, but here's how you can fix that: |  | Take out a loan & get plastic","If you're struggling to raise money for your startup, the reality is you're ugly, but here's how you can fix that: Take out a loan & get plastic surgery - debt is better than being ugly.",Satirical meme image,top_50_kallaway
"Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/ekGih-Hf",1258,113,32,1403.0,,Teacher,VC/Startup investing culture,Expectation vs reality contrast,Setup → Punchline (image),Meme with extended caption,"Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for","Whenever someone asks me if they should start a company, I send them this:  |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter for","Whenever someone asks me if they should start a company, I send them this: #startups #venturecapital #memes",Satirical meme image,top_50_kallaway
"If your CEO owns a $125k car with this license place, your company is going to be raided by the FBI:  |  | Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/em99Rn5u |  | #startups #venturecapital #memes",1256,130,7,1393.0,,Magician,VC/Startup investing culture,Satirical celebration of startup crime,Setup → Punchline (image),Meme with extended caption,"If your CEO owns a $125k car with this license place, your company is going to be raided by the FBI:  |  | Subscribe to my newsletter for more memes &","If your CEO owns a $125k car with this license place, your company is going to be raided by the FBI:  |  | Subscribe to my newsletter for more memes &","If your CEO owns a $125k car with this license place, your company is going to be raided by the FBI: Subscribe to my newsletter for more memes & startup satire: https://lnkd.in/em99Rn5u",Relatable reaction image/meme,top_50_kallaway
No one picks founders better than Forbes 30 under 30! |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter if you want to laugh about the tech industry: https://lnkd.in/em99Rn5u,1132,215,20,1367.0,,Teacher,VC/Startup investing culture,Mystery/curiosity gap,Statement → Commentary,Meme with extended caption,No one picks founders better than Forbes 30 under 30! |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter if you want to laugh abou,No one picks founders better than Forbes 30 under 30! |  | #startups #venturecapital #memes  |  | Subscribe to my newsletter if you want to laugh abou,No one picks founders better than Forbes 30 under 30! #startups #venturecapital #memes,Parody Forbes 30 Under 30 layout,top_50_kallaway
"I’m excited to announce we’ve hired Ryan Salame as a Partner at Jabroni Capital! |  | As we all know, 90% of the most successful startups commit fraud.  |  | This is a hugely profitable market & that’s why we’re excited to have Ryan help us identify & invest in the next FTX, Celsius, & Theranos.  |  | Some may criticize us for hiring a felon, but it’s 2024 & judging people for their background is totally not woke.  |  | (also many of the most successful people including our former president are felons) |  | Welcome to the team Ryan, can’t wait to visit you in prison for our weekly team meetings! |  | #startups #venturecapital #tech |  | Subscribe to my newsletter for memes & startup satire: https://lnkd.in/eG_2SHwg",1232,106,26,1364.0,,Magician,VC/Startup investing culture,Satirical celebration of startup crime,Statement → Commentary,Meme with extended caption,"I’m excited to announce we’ve hired Ryan Salame as a Partner at Jabroni Capital! |  | As we all know, 90% of the most successful startups commit fraud","I’m excited to announce we’ve hired Ryan Salame as a Partner at Jabroni Capital! |  | As we all know, 90% of the most successful startups commit fraud","I’m excited to announce we’ve hired Ryan Salame as a Partner at Jabroni Capital! As we all know, 90% of the most successful startups commit fraud.",Parody Forbes 30 Under 30 layout,top_50_kallaway
