full_text,likes,comments,shares,total_engagement,hook_type,topic,angle,structure,visual_format,first_line,hook_150,url,_source,rank,source,totalEngagement,numLikes,numComments,numShares,lego_1_topic,lego_2_angle,lego_3_hook_type,lego_3_hook_text,lego_4_story_structure,lego_5_visual_format,lego_7_rhythm,post_url,lego_6_key_visual,image_url
"We were drowning in customer Slack channels. Then we thought of Pylon.

At Hyperspell (YC F25)), we’ve always tried to stay as close to our users as humanly possible. We’re on call 24/7, helping with launches at 3 am, joining Slack huddles, and showing up in person to onboard teams. Most customers have our numbers. Many have group chats.

I started Hyperspell from Mission Control, the same house where Marty and his cofounders created Pylon after solving messy customer support across a million Slack channels for Hightouch, another MC company. I’d heard that story a hundred times living there. 

Now, months later, we were feeling that same pain. Over 50 shared Slack channels, constant customer asks, and messages coming in from every direction. We even spun up a Microsoft Teams channel for one customer, and that pushed us over the edge.

I knew just who to call. 

Within 15 minutes of the demo, we signed. Pylon pulls every customer conversation into one place, learns from past replies, connects to our docs, and supports Slack, email, Teams, and soon WhatsApp. In other words, exactly what we needed. 

A full circle moment. A product born at Mission Control now helping us serve our customers better as we scale. 

Thanks Jacob Bratton for making onboarding fast and smooth. Excited to keep building together.

Huge respect to Marty, Robert, Advith, and the whole Pylon team for creating an awesome product.",197.0,36.0,6.0,,Teacher,Startup/Founder,Data/Numbers,Statement → Commentary,Text-only,We were drowning in customer Slack channels. Then we thought of Pylon.,"We were drowning in customer Slack channels. Then we thought of Pylon.

At Hyperspell (YC F25)), we’ve always tried to stay as close to our users as h",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Today I'm excited to start a new series...

🦄 How Pylon Uses Pylon 🦄

Part 1: How We Escalate Bugs to Engineering

When customers report bugs, support needs to loop in engineering.

But our support team lives in Pylon while engineers work in Slack.

So we solve this by creating ""internal threads"" within Pylon issues that automatically post to a Slack channel...

→ #𝗯𝘂𝗴𝘀-𝗱𝗮𝗶𝗹𝘆 when it's high-priority and should be resolved within the day
→ #𝗯𝘂𝗴𝘀-𝗹𝗼𝘄𝗽𝗿𝗶 if it's non-urgent
→ #𝗯𝘂𝗴𝘀-𝗮𝗶 when we specifically need the AI team to investigate

This quickly notifies the right engineers, tells them the priority level, and gives them a link to full issue context.

Engineers then reply directly from Slack and their messages sync to the Pylon internal thread. 

Everyone gets to work from their preferred platform without missing cross-functional communications.

Link to docs in the comments 👇",91.0,12.0,3.0,,Teacher,Engineering/Technical,Personal Experience,Statement → Commentary,Text-only,Today I'm excited to start a new series...,"Today I'm excited to start a new series...

🦄 How Pylon Uses Pylon 🦄

Part 1: How We Escalate Bugs to Engineering

When customers report bugs, support",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"INTRODUCING... AI WEB RESEARCH

You can now gather information about accounts from live web sources like a company website or news articles.

Customer details like recent funding rounds can signal expansion opportunities or a change in product needs. But until now there was no way to automatically bring that context into your account management workflows.

Here's how it works...

1/ Create an AI web research custom field
2/ Prompt AI on how to collect the information you need
3/ Specify the type of data to retrieve (number, text, etc.)
4/ Save and let AI do the research

We also provide a few templates so you can start pulling company details, acquisition status, or latest funding right away. 

Some of our favorite use cases so far...

→ Flag a potential upsell if a customer closed funding in the last 3 months
→ Check in with your champion if their company was recently acquired 
→ Extract data on current employee count to identify expansion opportunities

Now you'll be up to date on big milestones and can proactively tailor your customer success strategy.",76.0,12.0,2.0,,Fortune Teller,Startup/Founder,Data/Numbers,Statement → Commentary,Text-only,INTRODUCING... AI WEB RESEARCH,"INTRODUCING... AI WEB RESEARCH

You can now gather information about accounts from live web sources like a company website or news articles.

Customer",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"We scaled to 200M+ calls and needed a support platform that could scale with us.

Most platforms would have buckled under that growth.

Pylon didn't just handle it. AI Agents completely transformed how we handle support.

Instead of our engineers spending hours manually collecting call IDs and digging through context, Pylon AI now handles all the prep work and escalates tickets to the right team.

Results: → 80% of L1 tickets automated → 50% of L2 tickets prepped before handoff → 15 hours per week back to product development
Pylon understands exactly what B2B support teams need.

Cheers to Marty Kausas and the Pylon team for building the best AI-native support platform for B2B teams. Read more about how we’ve transformed our support at the link in comments",84.0,8.0,2.0,,Magician,Product/Growth,Insight/Observation,Statement → Commentary,Text-only,We scaled to 200M+ calls and needed a support platform that could scale with us.,"We scaled to 200M+ calls and needed a support platform that could scale with us.

Most platforms would have buckled under that growth.

Pylon didn't j",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"INTRODUCING... ANOMALY DETECTION

Customer reports are often your first sign of a widespread problem, but it can take time to recognize similar issues.

Now, our AI will scan incoming issues in real-time to detect anomalous patterns like...

→ Active platform outages
→ UI bugs
→ Regressions

You can then create an issue group to let all affected customers know once there's a fix.

This makes it easier to spot large problems early and speed up your time to resolution.

Enjoy!",103.0,9.0,2.0,,Fortune Teller,AI/ML,Insight/Observation,Statement → Commentary,Text-only,INTRODUCING... ANOMALY DETECTION,"INTRODUCING... ANOMALY DETECTION

Customer reports are often your first sign of a widespread problem, but it can take time to recognize similar issues",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"We’re thrilled to co-lead Pylon’s Series B alongside our friends at Bain Capital. Backing Marty Kausas, Advith Chelikani, Robert Eng, and the Pylon team a second time is an easy decision - their ambition and execution continue to shine, and the amount of grit and hustle they bring is the engine behind Pylon’s incredible momentum.

When we first invested, they had a bold vision: reinvent B2B customer support from the ground up. Not just a better ticketing tool, but the Zendesk killer - a platform built for the way modern teams actually work.

Fast forward a couple of years:
- Hundreds of companies have switched from legacy tools like Zendesk and Intercom to Pylon.
- They now power support for fast-growing leaders such as ElevenLabs, Deel., Hightouch, and Fireworks AI.

And they’ve expanded the vision into something far bigger: a single platform where the entire post-sales experience comes together.

What makes this team stand out isn’t just vision, but discipline and speed They constantly debate priorities, cut distractions, and relentlessly optimize for decision-making. In a competitive SaaS market, where there are no easy shortcuts, the formula is simple: speed × hustle × customer obsession.
Pylon’s growth is proof: build a product customers can’t live without, and growth will follow.

If you’re looking to join a fast growing company obsessed with building products and serving customers, check out their open roles: https://lnkd.in/g3nE4gVE

-----
Note: 

1. B2B support is fundamentally different from B2C support, where every ticket adds on to COGS. A big portion of B2B success is onboarding, retention and expansion - it’s not a cost center but a revenue generator. 
2. B2B support is also a function that touches several organizations on both sides from sales, to product, to engineering. That’s why you need a first-class support tool to serve a complex team matrix.
3. Pylon lets you engage with customers in their native channels such as Slack, Teams or email. Having timely conversations enriched with context is a huge differentiator for companies today. People are not just buying software, they are also buying the experience with a vendor. 
4. AI support agents are all the rage today. A system of record is still needed, I dare to say, more crucial. Because it stores the most important customer data and touchpoints. What you want is a context-rich, copilot-enabled system of record to super charge the humans as well as agents.",176.0,16.0,5.0,,Fortune Teller,Product/Growth,Insight/Observation,Listicle/Breakdown,Text-only,"We’re thrilled to co-lead Pylon’s Series B alongside our friends at Bain Capital. Backing Marty Kausas, Advith Chelikani, Robert Eng, and the Pylon te","We’re thrilled to co-lead Pylon’s Series B alongside our friends at Bain Capital. Backing Marty Kausas, Advith Chelikani, Robert Eng, and the Pylon te",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"great time last week in SF hosting a private panel around ""choosing your next GTM opportunity"" with some of the best sellers I know @ Pylon HQ



after we ran the first panel series in NYC/SF around GTM + AI broadly, one topic that a lot of people asked us to go deeper on was ""how do I choose my next sales role in AI?""

most GTM-ers I know have been burned a time or two and want to make sure they're not making preventable mistakes - I know I've had my share of swings and misses personally

was amazing to see ~100 top early-career talent show up to one of VibeScaling's star portcos in Pylon, coming off a big series B raise from a16z and a recent Enterprise Tech 30 land

thank you to our world-class speakers:
- Chelsea Palmer (formerly early GTM @ Stripe, currently @ Anthropic, and our biggest GTMBA fan 😎)
- Mana Anvar (recently promoted to head of sales @ Pylon)
- Nicole Wemple (Segment alum, currently @ Hex)
- Cailen DSa (founding GTM @ 6 unicorns, currently CEO @ VibeScaling) 

and a huge shoutout to Marty Kausas for being a great partner and hosting us

we plan to throw these private events monthly in SF and NYC, excited for the next one next month with Emergence Capital with George Kunthara in SF, with a few others to be announced in the fall shortly

for startups (pre-seed through B) looking for GTM help/GTM engineering/recruiting their founding teams/want to sponsor the next event, or candidates looking to break into the space - shoot me a DM 🙂

and see the GTMBA article in the comments around 11 traits you should look for in your next GTM opp 👇🏻

Cailen DSa",81.0,16.0,5.0,,Teacher,Engineering/Technical,Insight/Observation,Listicle/Breakdown,Text-only,"great time last week in SF hosting a private panel around ""choosing your next GTM opportunity"" with some of the best sellers I know @ Pylon HQ","great time last week in SF hosting a private panel around ""choosing your next GTM opportunity"" with some of the best sellers I know @ Pylon HQ



afte",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"The future of B2B support isn’t just faster — it’s smarter.

In 2022, three engineers noticed something: B2B support teams were ditching email for Slack and Teams, but their tools hadn’t caught up. Then ChatGPT dropped, and the game changed again.

So Marty Kausas, Robert Eng and Advith Chelikani built Pylon — a platform purpose-built for this new world of real-time, AI-first support.

What started as a simple Slack connector is now replacing legacy support systems at companies like Temporal, Honeycomb and Lumos. And Pylon’s conversational AI is powering more than just ticketing — it’s helping teams identify upsell opportunities, manage account health, and unify post-sales operations.

This is what it looks like when timing, technical insight and relentless execution converge.

📚 Read the full story of Pylon — and why we believe it’s the future of customer support: https://lnkd.in/eQjpM5g4",29.0,0.0,3.0,,Magician,AI/ML,Insight/Observation,Statement → Commentary,Text-only,The future of B2B support isn’t just faster — it’s smarter.,"The future of B2B support isn’t just faster — it’s smarter.

In 2022, three engineers noticed something: B2B support teams were ditching email for Sla",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Excited to share that we are co-leading Pylon's Series B alongside Andreessen Horowitz! Pylon is reinventing B2B customer support for the AI era. We couldn't be more excited to work with this impressive team led by Marty Kausas Advith Chelikani and Robert Eng. We shared our thoughts on why Pylon is a special company here 👇 

https://lnkd.in/eMQsUqeF 

cc Ajay Agarwal Enrique Salem Abby Meyers Jennifer Li Bain Capital Ventures Niko Bonatsos David Ongchoco",272.0,13.0,5.0,,Magician,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,Excited to share that we are co-leading Pylon's Series B alongside Andreessen Horowitz! Pylon is reinventing B2B customer support for the AI era. We c,Excited to share that we are co-leading Pylon's Series B alongside Andreessen Horowitz! Pylon is reinventing B2B customer support for the AI era. We c,,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Every Y Combinator founder I asked about content-led sales pointed me to the same person: Marty Kausas, CEO of Pylon. 

I’ve been trying to level up my own founder-led sales and content. So I went back and studied all of Marty’s posts from the past month. The patterns are incredibly consistent—and useful if you’re a founder trying to scale your content as a growth channel.

---  

Here are 5 things he does best 👇  

1. Company milestones as category narrative  
- Examples: Series B (2,627 likes), new brand (181), “What changed since B” (126).  
- Pattern: numbers + category claim (“first B2B support platform”) + hiring CTA.  
- Lesson: Milestones hit harder when they reinforce your category story.  

2. Culture as performance marketing  
- Examples: Hawaii offsite (522), Sundays in office (235), 92-hour founder weeks (320), office expansion (278).  
- Pattern: vivid scenes + high standards + visible rewards → recruiting CTA.  
- Lesson: Culture posts attract high-agency talent and signal momentum to customers and investors.  

3. Product drops with clear outcomes  
- Examples: Account Intelligence launch (512), MS Teams chat (181), monthly ship list (135).  
- Pattern: “X → Y → Z” framing, feature lists, non-technical claims, shoutouts.  
- Lesson: Don’t just announce features—tie them to outcomes like speed, retention, or revenue.  

4. External validation & borrowed credibility  
- Examples: The Information article (257), BCV/TBPN reposts (234 & 74), customer video review (18).  
- Pattern: third-party quotes + hard metrics (NRR 158%, GRR 94%).  
- Lesson: Borrow trust from others—press, investors, and customers sell your story better than you can.  

5. Contrarian/operator takes  
- Examples: “Founders shouldn’t take vacations” (316), “In-person beats remote” (225), pricing evolution (106).  
- Pattern: strong POV + one chart/story + tidy takeaway.  
- Lesson: Hot takes grounded in operating experience spark conversation and expand reach.  

---  

Notes on format & craft:  
- Hooks: 1–2 punchy lines, then a blank line, then bullets.  
- Numbers everywhere: cash, headcount, % growth, NRR/GRR.  
- Repeatable blocks: “— Notes —”, “What/How/Why”, “Shoutouts”.  
- CTAs: almost always “we’re hiring” or “demo.”  
- Multimedia: photos, screenshots, launch clips → *proof of momentum.*  
- Cadence: 3–6 substantive posts/week around launches, hiring waves, fundraises.  

---  

Engagement distribution (likes ÷ 42,682 followers ≈ engagement %):  
- Peak: Series B (2,627 ≈ 6.2%), clickfarm post (593 ≈ 1.4%), Hawaii hiring (522 ≈ 1.2%), Account Intelligence (512 ≈ 1.2%).  
- Mid-tier: operator takes & ops transparency (170–320 ≈ 0.4–0.8%).  
- Low: reposts/events/reviews (17–74 ≈ 0.04–0.17%).  

---  

Takeaway for me:  
- Founder-led content *is* founder-led sales.  

Curious - are there other founders that I should study?  

#startups #founderledsales #content #Skylarq",324.0,37.0,5.0,,Teacher,GTM/Sales,Data/Numbers,Listicle/Breakdown,Text-only,"Every Y Combinator founder I asked about content-led sales pointed me to the same person: Marty Kausas, CEO of Pylon.","Every Y Combinator founder I asked about content-led sales pointed me to the same person: Marty Kausas, CEO of Pylon. 

I’ve been trying to level up m",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"IN NEWS: Pylon raises $31M Series B (co-led by Andreessen Horowitz & Bain Capital Ventures.)

Pylon is going after the B2B slice of support, not the simpler, transactional B2C queues. 

“In consumer you have very simple transactional support... In B2B you don’t just have customer support, you also have customer success, solutions, professional services, account management.” –Marty Kausas (Co-Founder & CEO)

Tickets need rich account context (CRM notes, call recordings, implementation plans), and routing spans multiple post-sales teams.

“One way to think about us strategically is we’re building something similar to Rippling, but for the post-sales use case.”

Full conversation with Marty is linked in the comments.

Technology’s daily show. Follow TBPN on LinkedIn for more.",235.0,17.0,4.0,,Magician,Engineering/Technical,Insight/Observation,Statement → Commentary,Text-only,IN NEWS: Pylon raises $31M Series B (co-led by Andreessen Horowitz & Bain Capital Ventures.),"IN NEWS: Pylon raises $31M Series B (co-led by Andreessen Horowitz & Bain Capital Ventures.)

Pylon is going after the B2B slice of support, not the s",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"Pylon is reinventing B2B customer support for the modern era. As businesses shift from email to real-time collaboration channels like Slack and Teams, legacy tools have struggled to keep pace. 

Pylon was purpose-built for this shift, enabling companies to manage conversations natively in these channels while layering in AI-powered features like account intelligence, ticket automation and knowledge management. The result is faster support, stronger customer relationships and a platform that scales across the entire post-sales organization.

What impressed us most about co-founders Marty Kausas, Robert Eng and Advith Chelikani is their clarity of vision and relentless execution. In just over two years, they’ve grown to more than 750 customers, including Temporal, AssemblyAI and Together AI, while displacing entrenched incumbents at scale. 

We’re proud to co-lead their $31M Series B alongside Andreessen Horowitz and back the Pylon team as they continue their mission to become the first AI-powered operating system for B2B support.",83.0,6.0,4.0,,Magician,AI/ML,Insight/Observation,Statement → Commentary,Text-only,"Pylon is reinventing B2B customer support for the modern era. As businesses shift from email to real-time collaboration channels like Slack and Teams,","Pylon is reinventing B2B customer support for the modern era. As businesses shift from email to real-time collaboration channels like Slack and Teams,",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"I'm excited to share that I've been promoted to Head of Sales at Pylon.

I initially joined Pylon for three reasons:

1/ a product that I genuinely believed in,
2/ founders that I’d walk into battle for, and
3/ a culture that valued grit and drive.

I framed this message from a prospect (now customer) above my kitchen sink — a daily reminder of the standard of excellence that I held myself to during every call. It is the same standard that I hold the sales team to today.

Deeply grateful to Marty for the opportunity, Andy for the continued guidance, and the entire team for the camaraderie. I wouldn’t want to do this with anyone else.

We’re hiring aggressively — AEs and SDRs who love to win and want to build a generational company. My DMs are always open 🚀 

Would love to chat at our co-hosted GTM event with VibeScaling on 8/20. Link to attend in comments ⬇️",390.0,52.0,5.0,,Teacher,GTM/Sales,Insight/Observation,Statement → Commentary,Text-only,I'm excited to share that I've been promoted to Head of Sales at Pylon.,"I'm excited to share that I've been promoted to Head of Sales at Pylon.

I initially joined Pylon for three reasons:

1/ a product that I genuinely be",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
"First week at Pylon is in the books. I joined here because of the impact I saw Pylon have from the outside.

The energy, culture, and work ethic here is something else.

I'm excited to work alongside these rockstars: Dani Scott, Jacob Bratton, Mana Anvar, Blanchard Kenfack, Sergio Sicairos, Matthew Hafizi, Marty Kausas.

Oh, and if you're looking for a support tool made for B2B, let's chat!",100.0,16.0,1.0,,Teacher,Culture/Career,Insight/Observation,Statement → Commentary,Text-only,First week at Pylon is in the books. I joined here because of the impact I saw Pylon have from the outside.,"First week at Pylon is in the books. I joined here because of the impact I saw Pylon have from the outside.

The energy, culture, and work ethic here",,dataset_product_led_dataset,,,,,,,,,,,,,,,,
