rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
11,Jackie Hermes,1.5,103,43,149,Contrarian,Content / Brand,Challenging Convention,Hook -> Numbered List -> CTA,PSA: please stop asking your friends that own businesses for discounts.,"PSA: please stop asking your friends that own businesses for discounts.  And when a friend offers you a discount, the right answer is simple: “because","PSA: please stop asking your friends that own businesses for discounts.

And when a friend offers you a discount, the right answer is simple: “because we’re friends, I’m paying full price.”

Friends don’t ask for discounts.
Friends don’t *let* friends discount.
And if it’s a service where you tip? Tip extra.

When you support a small business, please support it fully. Pay well and pay proudly. Don’t make your friends shrink their worth because you’re in their circle.

Last year was a tough year for a lot of businesses. If you can’t afford to buy from friends, there are plenty of things that you can do absolutely free!

1. Like, comment on, and share their content
2. Talk about them in rooms they’re not in
3. Leave thoughtful reviews
4. Send them leads
5. Be their sounding board


At the end of the day, supporting friends isn’t about a transaction... it’s about respect.

And the way you treat their business says a lot about how you value them.

A little Friday rant for you. ✨

Give me your two cents on this topic in the comments!",https://www.linkedin.com/posts/thejackiehermes_psa-please-stop-asking-your-friends-that-activity-7415423531531956224-gihy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNK4soBB4fhH1bCSX3bKHYCTqI6LynAUic
12,Jackie Hermes,1.5,125,21,147,Teacher,Motherhood / Family,Thought Leadership,Hook -> Insight -> CTA,"If I had to rebuild a company from scratch today, there’s only one thing I’d care about at the beginning: money, honey. Because if you’re not selling, you don’t have a company.","If I had to rebuild a company from scratch today, there’s only one thing I’d care about at the beginning: money, honey. Because if you’re not selling,","If I had to rebuild a company from scratch today, there’s only one thing I’d care about at the beginning: money, honey. Because if you’re not selling, you don’t have a company.

YES, you can have a great idea, a following, a business, plan, etc. But IMO, without customers, you do not yet have a business. 

And yet… I often see companies prioritizing everything else before selling. Is it fear? Discomfort? Wanting to be “ready”? (Pro tip: just like having kids, there is never a perfect time to start. 🤣)

In last week’s episode of my podcast, I broke down exactly how I’d start building a company with one goal: getting paid.

Here’s the framework I break down:
Start with a sellable / solvable problem
Sell before building infrastructure
Focus on audience and a clear offer
Let revenue shape your brand


If this feels uncomfortable, I hate to say it, but... good? Selling is for most people.

But comfort comes from customers and cash in the door. It’s how you hire, grow and reinvest.

What would you add?


📸 : baby Jackie hustling for Accelity's early sales in our old office. 🫰 

🔗 to the pod is in the comments!",https://www.linkedin.com/posts/thejackiehermes_if-i-had-to-rebuild-a-company-from-scratch-activity-7424455100284207104-7vOu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACAuXJMB_Tg4ICdAktyCfDr2_F5ay5Kzuqw
13,Jackie Hermes,1.4,117,24,143,Teacher,Entrepreneurship,First-Person Insight,Hook -> Story -> Lesson,"A few months into starting Accelity, I made one of the riskiest decisions of my life:","A few months into starting Accelity, I made one of the riskiest decisions of my life:  I quit my stable, full-time job to be an entrepreneur—with no b","A few months into starting Accelity, I made one of the riskiest decisions of my life:

I quit my stable, full-time job to be an entrepreneur—with no backup plan.

It wasn’t glamorous.
It wasn’t strategic.
It was survival.

I was stretched so thin: working all day and building two businesses at night, all while trying to be a good mom, wife, friend, and have even a chance at a social life.

Something had to give.
So I made a choice.
Not because I was ready.

But because staying stuck and exhausted felt worse than risking it all.

When I started thinking about actually taking the leap, I ran through every worst-case scenario:

→ What if I lose clients?

Well, that happened. A couple of months after I quit, my largest client (at the time) took all the work I was doing in-house. 🫠 I knew I could sell and had some money saved.

→ What if I run out of money?

I started cutting expenses. Moved into a fixer-upper duplex as an investment property, downgraded nice things, and lived frugally AF.

→ What if the company fails?

I hoped we could move in with family (I didn’t ask them but, hey! Who can say no to this face? 😇). I could get a job. We could rebuild.


Basically, I made peace with the downside, and that gave me the courage to chase the upside.

Because here’s the truth:
If you can handle the worst…
You free yourself to go after the best.

I hoped we’d thrive, and I KNEW we could survive. That made all the difference.

So if you’re standing at the edge of a big decision—ask yourself this:

What’s the worst that could happen? Can you handle it?


In the words of my all-time favorite musical, RENT:

No day but today.



**This picture is a throwback to our very first office: 400 square feet, logo from Fiverr painted on the wall. I thought I made it!  12 years later, we're still here, and better than ever. 🥺 💛",https://www.linkedin.com/posts/thejackiehermes_a-few-months-into-starting-accelity-i-made-activity-7354498776759214080-hbB3?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD17UGkBH8QJhQPLkRc2fBb4Mz5Dxgc2B9g
14,Jackie Hermes,1.3,109,19,130,Teacher,Entrepreneurship,Thought Leadership,Hook -> Numbered List -> CTA,"When I was younger, I thought being taken seriously meant being “professional” 24/7.","When I was younger, I thought being taken seriously meant being “professional” 24/7.  By that, I mean: careful with my words. Polished and super butto","When I was younger, I thought being taken seriously meant being “professional” 24/7.

By that, I mean: careful with my words. Polished and super buttoned up. Always in heels because I thought there was some kind of power dynamic in play (Seriously.) Trying to be something I just wasn’t.

As a young woman leading a company, I didn’t want to say anything wrong, be too casual, or be MYSELF.

Over time, in business, I realized that everyone’s performing a little. They want to sound smart. They’re protecting their turf. They’re trying to say the “right” thing.

But when I started showing up as me—the weird jokes, off-the-cuff comments, a little self-deprecating humor—something shifted.

People relaxed.
They opened up.
They told the truth.

And that’s when the real conversations and real insights happen. In marketing, this is especially important as we are tasked with getting to know audiences and stakeholders in the blink of an eye.

Real conversations can change a messaging strategy or completely redefine a brand.

If you want to get past surface-level answers, you have. to. go. first.
Be imperfect.
Be human.
Be real.

That’s how you disarm people.
When your guard comes down, that’s where the gold is.

And truly, I’ve found that the people that don’t like me as my quirky self… I can live without them. Because we don’t want to be surrounded by people, in our personal lives or in business, who don’t like us for who we are.

I *know* that this is easier said than done.

Tell me, what’s holding you back?



PS: Check out one of the most recent episodes of The Art of Entrepreneurship to dig more into the marketing application of this topic—disarming stakeholders to get the truth. Link is in the comments.

PPS: I live in tennis shoes now and I love it.",https://www.linkedin.com/posts/thejackiehermes_when-i-was-younger-i-thought-being-taken-activity-7392195167296061440-PEX-?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABV2-5cBS3OuBNwTYEDjt2OGEtA-PUnnrNs
15,Jackie Hermes,1.2,79,43,123,Teacher,Entrepreneurship,Thought Leadership,Hook -> Story -> Lesson -> CTA,The poor planning of others is not your emergency.,"The poor planning of others is not your emergency. But we let it become our emergency all the time. (Yes, I said LET.)  A client calls at 4 p.m. and n","The poor planning of others is not your emergency.
But we let it become our emergency all the time. (Yes, I said LET.)

A client calls at 4 p.m. and needs a deliverable first thing tomorrow.
A coworker delivers critical information that they forgot the day before a deadline.
Your boss says “this shouldn't be too much work” without realizing how long it takes because they don’t understand the nuances of your job.

Sound familiar?

In this week’s episode of my podcast, The Art of Entrepreneurship, I dig into why we keep saying yes to unrealistic asks—and how it hurts us more than we think.

Here’s the kicker:

✨ You get what you accept ✨

When we say yes to crazy timelines, we are training people to believe:
→ that they can call us at 4 p.m. with a project for tomorrow
→ it’s okay if they don’t thoroughly communicate because we’re going to pick up the slack
→ we are going to do whatever our bosses say without setting boundaries because “you’re the boss!”

Unfortunately:

➡️ If you accept rushed timelines, you’ll keep getting rushed timelines.
➡️ If you let chaos dictate your work, you’ll keep living in chaos.

Setting boundaries doesn’t make you look bad or weak. It shows confidence. It shows you care about quality. It shows you value your own time.

And that’s the shift I want you to think about.

Do you struggle with this? If not, how have you learned to overcome it?

🔗 Episode link is in the comments! 

♻️ Please repost if this is a lesson your network needs to hear",https://www.linkedin.com/posts/thejackiehermes_the-poor-planning-of-others-is-not-your-emergency-activity-7376602738224316416-tJtF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU
16,Jackie Hermes,1.2,89,29,121,Teacher,Entrepreneurship,Thought Leadership,Hook -> Insight -> CTA,"The new year doesn’t automatically reset your life. We all wake up yesterday with the same inbox, same pressure at work, and the same habits from last year. (Fortunately or unfortunately, depending on your habits.)","The new year doesn’t automatically reset your life. We all wake up yesterday with the same inbox, same pressure at work, and the same habits from last","The new year doesn’t automatically reset your life. We all wake up yesterday with the same inbox, same pressure at work, and the same habits from last year. (Fortunately or unfortunately, depending on your habits.)

I feel like we convince ourselves that if we set better goals, bigger goals, different goals… then every year is going to be different.

Here’s what I’ve learned (the hard way, mostly):
Most goals don’t fail because you lack discipline.
They fail because the systems you have in place are broken. 

Here are some common traps to avoid in the new year:

(1) Relying on motivation instead of structure
(2) Setting outcome-based goals without daily behaviors
(3) Creating massive goal lists that create stress, not progress
(4) Assuming that YOU are the problem, not environment and systems

The biggest lesson I’ve learned over the years is this: real progress comes from consistency, not motivation / intensity.

When your goals are clear and you break them down into tiny pieces and/or daily steps, it becomes so much more simple.

You don’t need a “new you” this year.
You need fewer goals, simple steps, and a system that works ALL the time…not just when you’re at your best.

I go deeper on this in last week’s episode of The Art of Entrepreneurship. Link in the comments!

What are your goals for this year?? I’ll go first. 👇",https://www.linkedin.com/posts/thejackiehermes_the-new-year-doesnt-automatically-reset-activity-7412879835695423488-yRDg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNK4soBB4fhH1bCSX3bKHYCTqI6LynAUic
17,Jackie Hermes,1.1,78,32,111,Teacher,Entrepreneurship,Direct Advice,Hook -> Story -> Lesson -> CTA,Want to be a better leader? Know what you suck at.,"Want to be a better leader? Know what you suck at.   Early in my career, I worked with one of the most successful entrepreneurs I know. Watching him t","Want to be a better leader? Know what you suck at.


Early in my career, I worked with one of the most successful entrepreneurs I know. Watching him taught me this:

The people who grow fastest aren’t the ones who try to do everything themselves. They’re the ones who admit their weaknesses and solve for them as fast as possible.


→ He didn’t have a long history in the industry—so he consulted experts and listened more than he talked.

→ He’d led a software company before, but hadn’t scaled a PE-backed company—so he implemented smart processes to ensure cross-functional success.

→ He didn’t know the ins and outs of marketing—so he handed it to us at Accelity and let us run the show. (Cough, just because you see marketing, doesn’t mean you know marketing! 😉)

→ He didn’t have all the answers on how to build a culture—so he leaned on strong leaders around him to build and protect it.

→ He knew he wasn’t super detail-oriented (hello, visionary)—so he brought in operators who could execute consistently while he focused on the big picture.


It was truly a pleasure to watch him make decisions and grow this organization.

Unfortunately, this is where SO many of us get stuck.

You want everything to be perfect. And perfect, in your mind, mostly means done your way. So you keep your hands in everything and make everyone around you ineffective (and unhappy).


Leaders, I challenge you today:

If you really want to level up, stop obsessing over perfection and get brutally honest about what you’re not good at. Then—hand it off.

Because if you’re always the bottleneck, you’re not leading.


Curious, what do you think the hardest part of this is for our leaders out there? Let’s chat in the comments.👇",https://www.linkedin.com/posts/thejackiehermes_want-to-be-a-better-leader-know-what-you-activity-7363561541876473857-QihJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADWuLVEBI99rxrHle4hYELPY12Zi8VCwl_0
18,Jackie Hermes,1.1,84,21,108,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,Making new friends at InsureTech Connect. 🤣,"Making new friends at InsureTech Connect. 🤣   Having the best time with our clients CLARA Analytics, Insurance Quantified & Duck Creek Technologies  i","Making new friends at InsureTech Connect. 🤣 

Having the best time with our clients CLARA Analytics, Insurance Quantified & Duck Creek Technologies  in Las Vegas this week. Last day, here we come! ✨ 💃 

#ITCvegas #ITC2025",https://www.linkedin.com/posts/thejackiehermes_itcvegas-itc2025-activity-7384623611396911104--pNV?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABV2-5cBS3OuBNwTYEDjt2OGEtA-PUnnrNs
19,Jackie Hermes,1.1,83,22,108,Teacher,Philanthropy / Cause,Direct Advice,Hook -> Story -> Reflection -> Question,Do you ever feel like you’re faking it and waiting to get “found out”? Same.,"Do you ever feel like you’re faking it and waiting to get “found out”? Same.  Over the past 12 years of building a company, I’ve gained a ton of confi","Do you ever feel like you’re faking it and waiting to get “found out”? Same.

Over the past 12 years of building a company, I’ve gained a ton of confidence. A lot of that is thanks to you all.

At the same time, there’s been a little voice in my head whispering things like:

“Who are you to lead a company?”
“Who are you to give advice online?”

And worst of all…

“Can you really do this?”

That’s imposter syndrome. And dang, it hits hard.

Every time I think I’ve conquered it, a new challenge comes a-knockin’. Here’s how I’ve learned to roll with the punches:


𝐑𝐞𝐦𝐞𝐦𝐛𝐞𝐫 𝐭𝐡𝐚𝐭 𝐜𝐨𝐧𝐟𝐢𝐝𝐞𝐧𝐜𝐞 𝐢𝐬 𝐚 𝐦𝐮𝐬𝐜𝐥𝐞.
I know, some people think that “fake it ‘til you make it” is bad advice. I don’t.

Sometimes, you do have to act confident until you feel confident. Remind yourself that you’ve conquered hard situations before, and you’ll do it again. 💪


B𝐞 𝐨𝐩𝐞𝐧 𝐚𝐛𝐨𝐮𝐭 𝐲𝐨𝐮𝐫 𝐬𝐭𝐫𝐮𝐠𝐠𝐥𝐞𝐬.
I’m sure plenty of people think I’m confident 110% of the time. I’m not. Spoiler alert: No one is.

Being vulnerable is hard, and doing so in a public forum can be even more of a challenge. But when you find your community—it’s worth it.


J𝐮𝐬𝐭 𝐝𝐨 𝐭𝐡𝐞 𝐭𝐡𝐢𝐧𝐠.
I used to panic over tiny presentations. Now I can speak to rooms full of people. I used to worry about every sales presentation. Now they come pretty naturally.

How?

Prepare. Do it scared. Channel your nervous energy. And keep going.


If you’ve ever felt like an imposter, you’re not alone. Y𝐨𝐮 𝐚𝐫𝐞 𝐡𝐮𝐦𝐚𝐧.

If you needed this message today, please repost. ♻️",https://www.linkedin.com/posts/thejackiehermes_do-you-ever-feel-like-youre-faking-it-and-activity-7362163255961681921-yQCA?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADWuLVEBI99rxrHle4hYELPY12Zi8VCwl_0
20,Jackie Hermes,1.0,74,27,103,Teacher,Entrepreneurship,Thought Leadership,Hook -> Story -> Lesson,We don’t need more “visionaries.” We need more leaders who follow through.,We don’t need more “visionaries.” We need more leaders who follow through.  Everyone loves big ideas. Grand plans to disrupt. “We’re gonna be the next,"We don’t need more “visionaries.” We need more leaders who follow through.

Everyone loves big ideas. Grand plans to disrupt. “We’re gonna be the next Apple/Uber/Airbnb of ______ industry!”

But vision alone doesn’t build a business. *Execution* does.

And while developing vision can be thrilling, execution is often in the unsexy work:

• Building a roadmap and shipping your product accordingly
• Coaching employees through good and bad times
• Following up on sales until you’re blue in the face
• Responding to emails in a timely manner
• Providing feedback even when it’s hard
• Managing financials and paying bills
• Holding your team accountable
• Building repeatable processes
• Hiring and sometimes firing
• And a whole lot more


This is where a lot of founders and leaders fall down. The follow through.

We start companies because we’re dreamers—we see a better way. But somewhere along the line, we start believing that being the visionary is the ultimate compliment.

IMHO: It’s not.

If you want to lead well, this is where I’d start.
 ✅ Shrink your vision into daily actions. Make progress toward your goals every day.
 ✅ Build accountability rhythms: clear expectations, deadlines, and check ins.
 ✅ Stop starting and start finishing. Enlist help as needed (an accountability partner or coach).
 ✅ Measure progress, not just motion. Busy doesn’t always = productive.

I personally need help with systems and accountability and I’m not afraid to admit it. I have systems and people around me that help keep me on track and am very thankful to them. 🙏

Remember this: being honest with yourself is the first step.

Leaders, what’s one way you can improve your working style this week?

--

📸 Working with my business partner (and accountability partner) Jenny Weeden. Thanks for being my rock at Accelity for 10 years!!

🎧 Dive deeper into this topic in this week's episode of The Art of Entrepreneurship: https://lnkd.in/e6ZCeVb3",https://www.linkedin.com/posts/thejackiehermes_we-dont-need-more-visionaries-we-need-activity-7381680498701549568-CYJp?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD7yo78B760w1OzXX2HFGNqUYGS32K3evyU
21,Jackie Hermes,1.0,70,25,96,Teacher,Career Growth,Thought Leadership,Hook -> Numbered List -> CTA,"Bad customers don’t just cost your business money; they drain your energy, damage your reputation, and erode trust. Here are the warning signs of a bad customer 👉","Bad customers don’t just cost your business money; they drain your energy, damage your reputation, and erode trust. Here are the warning signs of a ba","Bad customers don’t just cost your business money; they drain your energy, damage your reputation, and erode trust. Here are the warning signs of a bad customer 👉


Most leaders learn not to sign bad customers the hard way. I definitely did.

When I started Accelity, I thought landing ANY client was a win. If they had a pulse and a budget? Let’s go.

…until I hired clients who made my team cry, blew past budgets, ghosted for weeks, or—my personal favorite—tried to sell our same services to our own clients while still working with us. (True story! 🤣)

Over the years, I’ve learned something I wish someone told me earlier:

There are two types of PITA (Pain In The Ass) clients:
➡️ Good PITAs push for results, stretch the limits of your knowledge, and make you better. (I admit that I am sometimes this kind of client for others)
➡️ Bad PITAs push the boundaries of your contract and make you want to jump off a cliff.

Here’s the trick: learning to spot which one you’re dealing with before you sign the contract.

Here are 6 red flags I look for now (that I used to ignore):

1. Champagne taste, beer budget.

If their expectations and budget don’t line up, it’s not an opportunity to “get scrappy.” It’s a disaster waiting to happen.

2. Ghosting during the sales process.

If they disappear for weeks at a time without responding now, imagine what it’s going to be like getting strategy approval.

3. Talking trash.

If they talk poorly about past vendors, their employees, coworkers… trust me, you’re next.

4. Constantly late or rescheduling.

Busy is normal. We all have a lot going on. But when it tips past the line of disrespect, don’t ignore.

5. Aggressive negotiation.

If they squeeze you hard before they ever even sign the contract, get ready… because it’s gonna get worse after.

6. Nice to power, rude to others.

If they will only speak to people they view as having power or are rude to junior employees, it’s a no for me.

And then there’s the one thing we often undervalue:

✨ Trusting your gut. ✨

If something feels off, it usually is.

If I could give one big piece of advice around this topic, it’s this:

Bad customers cost far more than they pay.

Protect your team. Protect your energy. Protect the business.

Horror stories? Lessons learned? I want to hear them all in the comments. 👇",https://www.linkedin.com/posts/thejackiehermes_bad-customers-dont-just-cost-your-business-activity-7401263132045905920-0u3V?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABuxQPsB9DAXOP6314kBWPuiGaRW0h_twaQ
22,Jackie Hermes,1.0,55,37,95,Teacher,Business Strategy,Thought Leadership,Hook -> Story -> Lesson -> CTA,"If you're spending substantially more time creating content than distributing it, you're doing it wrong.","If you're spending substantially more time creating content than distributing it, you're doing it wrong.  Jenny Weeden and I did a talk last last week","If you're spending substantially more time creating content than distributing it, you're doing it wrong.

Jenny Weeden and I did a talk last last week and we covered this topic many times:

DISTRIBUTE. YOUR. CONTENT.

You spend tons of hours putting together your content, even social content here on LinkedIn.

So why would you only post it one time?

Here are a couple of examples of how I get the most mileage out of my content:

➡️ I record my podcast every week and those topics outline what I talk about on social. And I don't just talk about each episode once! If you haven't noticed already, you'll probably start to see that I link to old episodes in the comments all the time to help people discover the pod.

➡️ I re-post high performing content in different formats, or rewrite the hook for posts that I think should have performed better, then post them again. Especially on LinkedIn lately, there are very few eyeballs seeing your posts.

➡️ At my marketing agency, we are often writing longer pieces of educational content or producing videos, breaking them up into blogs, social posts, videos, podcasts, and more. When those pieces of content become outdated, update, republish.

Promoting and re-promoting content might feel like you’re repeating yourself.

But with so much competition for your audience’s attention, you can’t risk them missing the ONE time you post your content.

**Maybe most importantly, when you don't do this effectively, you're:
   🕓  wasting your time
   💰  wasting your marketing budget

Distribute. Your. Content.

P.S.: What’s one creative way that you distribute content? Tell me in the comments.",https://www.linkedin.com/posts/thejackiehermes_if-youre-spending-substantially-more-time-activity-7373705761933205504-Yb1c?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAESjmc4BQycFwigIibZ94ord0SROkfP-s5k
23,Jackie Hermes,0.9,74,18,94,Experimenter,Entrepreneurship,Results From Experience,Hook -> Insight -> CTA,Entrepreneurship culture loves to glorify the hustle.,"Entrepreneurship culture loves to glorify the hustle. Late nights, early mornings, “I’ll sleep when I’m dead.”  I definitely used to subscribe to this","Entrepreneurship culture loves to glorify the hustle.
Late nights, early mornings, “I’ll sleep when I’m dead.”

I definitely used to subscribe to this. I tried *everything* to give myself more time in the day to build my business (including the Everyman sleep schedule—look it up. It's insane.).

Turns out, that mindset actually limits your success.

In my latest podcast with Chris Mirabile, the founder & CEO of NOVOS, we talked about the real superpowers of entrepreneurship. Here’s what stuck with me:

You can’t make good decisions, think clearly, or scale effectively when your brain is foggy and your body is running on fumes.

You don’t need to be a biohacker to feel good—you just need to take your mental and physical health seriously. Because your business depends on it.

What’s your biggest lesson when it comes to health and performance at work?

--

Chris and I also dug into:
→ How to evaluate the overwhelming wave of health advice online
→ Why longevity isn’t about living longer, it’s about feeling better longer
→ The daily practices that fuel Chris’s performance as a founder and CEO

🔗 Link in the comments to check out this short discussion packed with actionable advice.",https://www.linkedin.com/posts/thejackiehermes_entrepreneurship-culture-loves-to-glorify-activity-7353050147653599233-ZGUj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD17UGkBH8QJhQPLkRc2fBb4Mz5Dxgc2B9g
24,Jackie Hermes,0.9,69,18,89,Teacher,AI / Tech,Thought Leadership,Hook -> Insight -> Close,"Everyone’s bragging about cutting headcount because of AI and I HATE it. On the flipside, almost no one is talking about the work that is being lost in these layoffs: the deep work that only humans can do.","Everyone’s bragging about cutting headcount because of AI and I HATE it. On the flipside, almost no one is talking about the work that is being lost i","Everyone’s bragging about cutting headcount because of AI and I HATE it. On the flipside, almost no one is talking about the work that is being lost in these layoffs: the deep work that only humans can do.

I saw a graph recently that showed hours of focused work completed during the workday over the last few decades, and it was shocking to see. (Of course I now cannot find this chart… halp?)

Deep work: massively decreased
Task work (pointless meetings, emails, Slacks): taking up most of our days

This is the problem:
We don’t focus at work anymore.

And unfortunately… task work is exactly what is being replaced by AI.

In this interview with Steven Puri, he said “deep work is the only thing LLMs can’t compete with. AI will happily do the filler work. The repetitive work. All day. For nothing.”

So… if you’re asking yourself how to make yourself more valuable, learn how to focus again. Use AI to make your day smarter and more efficient. 

And protect your focus time like your job and your business depend on it… because they do.


PS: if you aren’t connected with Steven Puri, you’re missing out. He went from being a producer on some huge films like The Wolverine and Die Hard to founding The Sukha Company, a focus app for deep work. Plus, he’s just awesome to talk to and learn from! Do it. ;)",https://www.linkedin.com/posts/thejackiehermes_everyones-bragging-about-cutting-headcount-activity-7425552258232365056-L1Fd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAACAuXJMB_Tg4ICdAktyCfDr2_F5ay5Kzuqw
25,Jackie Hermes,0.8,63,18,84,Teacher,Content / Brand,Direct Advice,Hook -> Story -> Reflection -> Question,"Buyers aren’t on the linear buying journey that you think they are. Y’all, it’s time to wake up.","Buyers aren’t on the linear buying journey that you think they are. Y’all, it’s time to wake up.  Many companies still think they can show buyers thei","Buyers aren’t on the linear buying journey that you think they are. Y’all, it’s time to wake up.

Many companies still think they can show buyers their logo 7 times, feed them a blog, a couple of demo ads, and BOOM!

They’re ready to buy.

That’s not how it works. (Honestly, was it ever?)

Here’s what really happens:

> They see a post, maybe they give it a thumbs up
> Get retargeted. More posts. More ads.
> Eventually they opt into your email list
> Click on something they intend to read
> It sits buried in tab 47 and they never get to it
> Hear about your brand from a friend and say, “oh yeah! I was going to check them out.”
> Forget again.
> More posts. More emails. More ads.
> Then finally, when THEY’RE ready… they reach out.

This is the messy, nonlinear, self-directed journey that most buyers are taking online today.

So stop trying to shove your buyers through a non-existent funnel.

What should you do instead?
 ✅ Build a library of content that lives on your site (education, self-service tools, proof)
 ✅ Layer in campaigns that meet buyers in the right channel
 ✅ Show up consistently—on social, in search, via email, at events, through PR, wherever your buyers are.

You’re not here to trap your buyers.

You’re here to earn their trust. So when they’re finally ready to pay attention, do some research, take a meeting, and maybe even buy… you’re top of mind.

Marketers, what advice would you add to this list? 👇",https://www.linkedin.com/posts/thejackiehermes_buyers-arent-on-the-linear-buying-journey-activity-7417203670397706240-8Ocd?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNK4soBB4fhH1bCSX3bKHYCTqI6LynAUic
26,Jackie Hermes,0.8,58,19,81,Teacher,Entrepreneurship,Thought Leadership,Hook -> Numbered List -> CTA,"In all my years selling, I’ve found that when people say you’re “too expensive,” that’s actually rarely about price.","In all my years selling, I’ve found that when people say you’re “too expensive,” that’s actually rarely about price.  Hear me out.  You have to establ","In all my years selling, I’ve found that when people say you’re “too expensive,” that’s actually rarely about price.

Hear me out.

You have to establish these things in order to make your price worthwhile:

1. clear ROI
2. the right comparison
3. a sense of urgency

And it’s HARD to establish all of these things especially when your buyer is in a hurry or providing limited time.

That means you probably don’t have a pricing problem. You have a value problem.


Taking the following steps makes all the difference:

> Anchoring to emotional impact
As an agency, we’re not delivering strategy or content. We’re delivering relief for marketers that are doing it all.

> Give context for them to compare to
If you don’t show what your work replaces (a hire, wasted spend, lost time), buyers will compare you to whatever is top of mind for them.

> Tie yourself to real business goals
When your product or service clearly ladders up to revenue, retention, or growth, price becomes easier to justify.


Final PSA: Discounting doesn’t solve this problem! The buyer needs clarity, not just a cheaper price. (You get what you pay for!)


I break this down more in Episode #304 of The Art of Entrepreneurship, including how to raise perceived value without sounding salesy or desperate.

🎧 Full episode link in comments!
📩 Send this to a founder who keeps second-guessing their pricing",https://www.linkedin.com/posts/thejackiehermes_in-all-my-years-selling-ive-found-that-activity-7416845358724448256-MSbe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFNK4soBB4fhH1bCSX3bKHYCTqI6LynAUic
27,Jackie Hermes,0.8,50,28,80,Teacher,Entrepreneurship,Direct Advice,Hook -> Insight -> CTA,Are you worried that AI is making you lazy??,Are you worried that AI is making you lazy??  I had a convo recently that presented a different perspective:  AI isn’t going to make you dumb. If you’,"Are you worried that AI is making you lazy??

I had a convo recently that presented a different perspective:

AI isn’t going to make you dumb. If you’re choosing not to use it, you are intentionally staying in the minutia.

I’ve talked with a LOT of people about AI over the last few years, especially on my podcast The Art of Entrepreneurship. And Alex Mehr, Ph.D. is probably the biggest AI optimist I’ve met so far.

He said:
We aren’t overusing AI, we’re underusing it. Grinding through work we simply shouldn’t be doing anymore. Manually researching, drafting, summarizing, note taking, and doing work that a machine can do in 8 seconds.

Then we all claim we don’t have time to think. 🫠

I’ve heard plenty of people say that they feel they should practice skills they’re sourcing to AI so they don’t lose them.

And maybe that will need to happen at some point.

But right now? Per Alex, the bigger risk isn’t skill atrophy. It’s irrelevance in an AI-driven world.

This episode definitely made me think. What’s your reaction??

Link to the full convo is in the comments.",https://www.linkedin.com/posts/thejackiehermes_are-you-worried-that-ai-is-making-you-lazy-activity-7429558592825016320-ySYY?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB0q1vsBp4hULNTjGJX-vWVJ4DU-a38UXeY
28,Jackie Hermes,0.8,57,19,80,Teacher,Entrepreneurship,Thought Leadership,Hook -> Insight -> CTA,Most marketing research is broken.,"Most marketing research is broken.  We ask people questions that are too broad, vague, or that they simply don’t know how to answer—then make business","Most marketing research is broken.

We ask people questions that are too broad, vague, or that they simply don’t know how to answer—then make business decisions based on that shaky data.

""How satisfied are you?""
""Why did you buy this product?""
""Rank your preferences from 1 to 10.""
""What problem were you trying to solve?""
""How much would you pay for XYZ feature?""

Here’s the truth: people don’t think or talk like this in real life.

On this week’s episode of The Art of Entrepreneurship, I talked to Holland Martini and Maria Vorovich, co-founders of GOODQUES, about what good research actually looks like.

Their answers can teach new, creative angles to even the best researchers:

➡️ Skip the canned survey. If you’re going to use surveys as part of your research, they should be thoughtful and humanized every single time.

➡️ Give your interviewee a perspective. One of their favorite questions is “write a eulogy for this product” (vs. how would you feel if X product went away?)

➡️ Think about how you make people feel while they engage with you. At Accelity, we always want people to feel like they’re having fun during stakeholder interviews with us. (Unheard of!)


Questions? Tips to add to this list? Drop ‘em in the comments. 👇



This episode is a must-listen for marketers, founders, and anyone trying to understand humans.

🎧 Check it out here: https://lnkd.in/e2U4yZv6",https://www.linkedin.com/posts/thejackiehermes_most-marketing-research-is-broken-we-ask-activity-7347980506514284544-L8MD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAD17UGkBH8QJhQPLkRc2fBb4Mz5Dxgc2B9g
