rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
11,Codie A. Sanchez,1.8,3185,212,3406,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,Ignore marriage advice from miserable people. It is worth it.,Ignore marriage advice from miserable people. It is worth it.  From senior prom to 20+ years later.,"Ignore marriage advice from miserable people. It is worth it.

From senior prom to 20+ years later.",https://www.linkedin.com/posts/codiesanchez_ignore-marriage-advice-from-miserable-people-activity-7408513269922979840-zPyl?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
12,Codie A. Sanchez,1.8,2669,655,3399,Teacher,Leadership,Direct Advice,Hook -> Insight -> Close,Don’t be afraid of outgrowing EVERYONE.,Don’t be afraid of outgrowing EVERYONE.  Your friends. Yes.  Your family. Likely.  If you are great... Even the people you hire today you will outgrow,"Don’t be afraid of outgrowing EVERYONE.

Your friends. Yes.

Your family. Likely.

If you are great... Even the people you hire today you will outgrow.

Don’t apologize a f*cking second for outgrowing people who can not keep up with you.

You need to make the hard call to move on, and move on FASTER than you think.

I was on the phone with a friend the other day runs another portfolio and famous on the internet and we both had to fire a csuite executive. We talked on Friday, I asked on Tuesday when she was doing it, she said she already did it that morning.

“Once I know I have to, I rip the bandaid off.”

Tough truth I’ve never regretted ONCE parting ways with someone who isn’t going as fast as I am.

THIS is the hard and brutal truth of greatness.",https://www.linkedin.com/posts/codiesanchez_dont-be-afraid-of-outgrowing-everyone-activity-7401621101052583937-cSaL?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
13,Codie A. Sanchez,1.8,2982,163,3333,Teacher,Finance / Money,Direct Advice,Hook -> Punch Line,You will make 10x more money if you present ideas like this to your clients or leaders.,You will make 10x more money if you present ideas like this to your clients or leaders.,You will make 10x more money if you present ideas like this to your clients or leaders.,https://www.linkedin.com/posts/codiesanchez_you-will-make-10x-more-money-if-you-present-activity-7431415878073606145-K-W2?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABZ7-HEBruCM6sZQ3V5BFFp4L-sCzx01HEI
14,Codie A. Sanchez,1.8,3015,237,3317,Teacher,Motherhood / Family,Thought Leadership,Hook -> Insight -> Question,"My husband said five words to me that made my worldview flip on never missing a chance to see a loved one: “Measure in times, not years.”","My husband said five words to me that made my worldview flip on never missing a chance to see a loved one: “Measure in times, not years.”  We were deb","My husband said five words to me that made my worldview flip on never missing a chance to see a loved one: “Measure in times, not years.”

We were debating whether to go home and see our family for Thanksgiving and my husband said...

If your parents are 65, it’s not 20 or 30 years you might have with them, it’s maybe 20 or 30 visits you get with them.

One in four Americans don’t live in the same hometown as their family. How would you change your decisions if you’d only get to see your loved ones for 20 or 30 more days?

You’d change everything to be with them, wouldn’t you? Same if it was six months. And yet when those days are separated by years we let them slide through our fingers.

Next time don’t count the years, remember the days… and treasure them.",https://www.linkedin.com/posts/codiesanchez_my-husband-said-five-words-to-me-that-made-activity-7420827856672337920-_lwr?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEpL_c4Bg9eunimDzYTl-fGDJEG9oOc_G3o
15,Codie A. Sanchez,1.6,2528,406,3073,Teacher,Motherhood / Family,Personal Lesson,Hook -> List -> Insight,I’m 39.,"I’m 39.  27 lessons I wish I learned in my 20s:   1. As soon as you hit your 30s, you’ll understand... Your 20s actually suck. If you feel like it suc","I’m 39.

27 lessons I wish I learned in my 20s: 

1. As soon as you hit your 30s, you’ll understand... Your 20s actually suck. If you feel like it sucks right now, guess what? It’s supposed to. It gets better.

2. Your first job is like the DMV. Awful. Everyone’s mad. Nothing works. But the key is.. You are not supposed to stay there.

3. It is very hard to change the world when you are broke. So don't apologize for chasing money.

4. Meet everyone. Say yes to everything. You narrow the field later.

5. Do it all. Because you’ll die eventually and life will make you slow down. But up until then, eat the world.

6. You are not everyone’s cup of tea, that’s a good thing.

7. The most lucrative things you can do in your 20s: 1) learn how to invest, 2) apprentice in PE, real estate, or venture.

8. If they’re not interesting when you’re sober, don’t drink until they become it.

9. Never buy to impress. Being wealthy > looking wealthy… even when that first big-kid check hits your bank account.

10. The most important question you can ask yourself often: Does this bring joy?

11. Do favors, don’t take them. There’s often a hidden price.

12. If I was in my 20s, I’d try to work for one type of company… One where they reward outcomes not hours. Winning > running really hard for a really long time.

13. Seed is only as good as its soil. Where you live during your 20s matters. Take some time away from your hometown.

14. If you feel cynical about the world… I don’t blame you. But always remember the number one superpower for your generation is HOPE.

15. If you’re prone to loneliness and isolation.. do NOT work a remote job. A small team with sleepless nights and shared goals is a powerful thing.

16. Touch grass. A walk outside will be better for your brain than anything you find on your phone.

17. Burnout doesn’t come from working too hard. Burnout comes from working too hard, on things that don’t light you up.

18. Learn how to save now, but understand that saving isn’t what makes you rich.

19. If you want to make more money, be more useful to people who have more money.

20. You must learn to be disliked or you will find yourself stuck in a prison of other people's beliefs.

21. Most successful people I've met aren't that smart. They move fast, they take risk, they work a lot. That's it.

22. If old you doesn’t make you cringe, you haven’t grown enough.

23. Do something hard every day. Then watch that “something” evolve as you become stronger and stronger.

24. If you haven’t done it, you just have an opinion.

25. Marrying well is the biggest life hack of all. Marrying poorly is a costly path to misery. Choose wisely.

26. Working smarter not harder is a beautiful lie. You will not know how to work smart until you've worked very hard for an irrationally long time.

27. Take notes from old people… Waking up early, being married, reading books, going to bed at 10pm, and drinking less is actually amazing.",https://www.linkedin.com/posts/codiesanchez_im-39-27-lessons-i-wish-i-learned-in-my-activity-7418653473593798656-l57J?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF0xL_oByCbKvMWnw2gqp5d9JJD_HZczzDg
16,Codie A. Sanchez,1.5,2359,436,2880,Contrarian,Motherhood / Family,Challenging Convention,Hook -> List -> Insight,A hard truth I've learned in business.,A hard truth I've learned in business.  It's always who not how.  1. There's only so much time in the day. 2. There's always going to be someone smart,"A hard truth I've learned in business.

It's always who not how.

1. There's only so much time in the day.
2. There's always going to be someone smarter and better than you.

These aren't problems. They're levers.

Every time you struggle with an issue, don't try to figure out how to solve it. Instead, ask yourself what type of person could solve it for you.

You don’t have a HOW problem, you have a WHO problem.

Solve that and you solve everything.

↓ ↓ ↓

This is a strategy I think of as “stealing someone’s 10,000 hours.”

And I’m letting you take my 10,000 hours for free at my Main Street Millionaire Live Event…

I’ve bought & sold 20+ small businesses. I’ve failed a couple, scaled several, and I’m sharing a condensed version of how to buy a biz over 3 days. 

It’ll be beginner-friendly and perfect if you're still in your 9-5.

Save your spot here today → https://lnkd.in/g7mjjqYQ",https://www.linkedin.com/posts/codiesanchez_a-hard-truth-ive-learned-in-business-its-activity-7419757420144439296-AOhI?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEpL_c4Bg9eunimDzYTl-fGDJEG9oOc_G3o
17,Codie A. Sanchez,1.5,2545,281,2861,Teacher,Career Growth,Thought Leadership,Hook -> List -> Insight,My coworker got the promotion over me.,My coworker got the promotion over me.  Numerically worse at the work. Great at politics.  I brought in deals. Fixed messes. Hit all goals  He was 10x,"My coworker got the promotion over me.

Numerically worse at the work. Great at politics.

I brought in deals. Fixed messes. Hit all goals

He was 10x better than me at managing up.

He got the title. I got “keep doing what you’re doing.”

It took 10+ years for me to click that most companies reward politics, not performance.

So I left. Started buying boring businesses and building my own thing.

Now I make many times what my old bosses did. No corporate games.

The best operators don’t usually climb the ladder. They are the ladder everyone else climbs.

Corporate optimizes for compliance. Owners optimize for competence.

If you’re elite at the work but trash at politics, don't give up, I was just like you.

Take the risk in 2026.

↓↓↓

If you want to learn how to buy a business in 2026 and become an owner, I’m doing this 3-day virtual workshop for you: https://lnkd.in/dYP5dr-T",https://www.linkedin.com/posts/codiesanchez_my-coworker-got-the-promotion-over-me-numerically-activity-7423364505235230720-up35?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABoBKrsBx3ozlVCrBn34fGmjwCmWu7INH6k
18,Codie A. Sanchez,1.5,2240,499,2831,Teacher,Finance / Money,Thought Leadership,Hook -> List -> Insight,A few lessons on reputation learned over the years:,"A few lessons on reputation learned over the years:  - Long-term games and long-term people compound. Resist shiny objects. - Everything you do, every","A few lessons on reputation learned over the years:

- Long-term games and long-term people compound. Resist shiny objects.
- Everything you do, everything you say, is part of a permanent record you can't see.
- I used to think it was a win to never answer my phone, always be focused on work. Now I realize those who show up for others are the only ones who win in the long term.
- Never trade your reputation for money. Money you can make more, reputation you can't.
- Your positioning is your most important asset. Product can be copied... But brand and reputation cannot.
- “It takes 20 years to build a reputation and five minutes to ruin it.” True reminder.

On the flipside, we can't let this paralyze us...

Nothing you do will matter to anyone here in 2 years.

Even less in 20.

And your name will be forgotten in 100.

There's freedom in a bit of nihilism.",https://www.linkedin.com/posts/codiesanchez_a-few-lessons-on-reputation-learned-over-activity-7404157925818101761-yNTj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
19,Codie A. Sanchez,1.5,2209,504,2786,Teacher,Finance / Money,Direct Advice,Hook -> Punch Line,You can flatter & pander.,"You can flatter & pander.  Or you can become ACTUALLY likable:  • Do what you say you’re going to do • Show your results, not your intentions • Your j","You can flatter & pander.

Or you can become ACTUALLY likable:

• Do what you say you’re going to do
• Show your results, not your intentions
• Your job isn’t done until THE job is done
• Communicate - less words, more meaning
• Bring solutions, not complaints
• Do the dirty work
• Don’t be boring

The truth:

People like competence.

So does money.

(Feel free to share if this resonates♻️)",https://www.linkedin.com/posts/codiesanchez_you-can-flatter-pander-or-you-can-become-activity-7404891998496677888-J4mc?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
20,Codie A. Sanchez,1.5,2119,529,2751,Teacher,Career Growth,Direct Advice,Hook -> Numbered List -> CTA,Best thing you can do for your career:,Best thing you can do for your career:  Don't wait to GET experience. MAKE it.  3 ways to make your own experience:  1. Apprentice - work for free in ,"Best thing you can do for your career:

Don't wait to GET experience. MAKE it.

3 ways to make your own experience:

1. Apprentice - work for free in exchange for learning

2. Take junior roles - learn your way into earning more

3. Side hustle - teach yourself skills, practice with projects, then bring them back to the workforce

An employer today will MAYBE ask if you have a degree. They MIGHT ask what your major was. They likely won’t ask your GPA.

Don't just pay for permission.

Show me what you can do instead.

(PS: If you need more of this energy in your life, make sure you're following me → Codie A. Sanchez)",https://www.linkedin.com/posts/codiesanchez_best-thing-you-can-do-for-your-career-dont-activity-7407422661183803393-pvNg?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
21,Codie A. Sanchez,1.4,2097,444,2647,Magician,Philanthropy / Cause,Data-Driven Revelation,Hook -> List -> Insight,21 tips to be the first gen wealth builder in your family:,21 tips to be the first gen wealth builder in your family:  1. The Law of Two Hours: 2 hours of dedicated work is worth more than most people’s 8 hour,"21 tips to be the first gen wealth builder in your family:

1. The Law of Two Hours: 2 hours of dedicated work is worth more than most people’s 8 hours.

2. How to never fail with a business: Start as a side project. Keep your job. Use your salary to fund. Quit when you have enough cashflow.

3. It's not about time. It's about the F word. Focus. You don’t need 24 hours a day to build a business.

4. Think about your salary like a Silicon Valley investor. Treat every single dollar you give to your side business like an investor would.

5. Hope is not a strategy. “Pray like it’s up to God, but work like it’s up to me.”

6. You don't need more time, you need a deadline.

7. Decrease the time between having an idea and getting it done. Money loves speed. Poverty loves waiting.

8. Small & consistent beats big & sporadic. Long hours at a desk is counterproductive.

9. If you want to make more money, be more useful to people who have more money.

10. It is very hard to change the world when you are broke. So don't apologize for chasing money.

11. Nobody cares about your life...They think about you for one second and then think about themselves again. So you might as well do what you want.

12. You must be just dumb enough to believe in yourself, just smart enough to execute.

13. If you say you will do a thing, then actually do the thing. 90% do not do this.

14. No one is coming to save you. You want a better life, go build it.

15. You must learn to be disliked or you’ll find yourself stuck in a prison of other people's desires.

16. Tasting freedom can make you unemployable. Get that initial momentum, and watch your life start to change.

17. You are paid exactly as much as the problems you solve are worth. Bigger problems = bigger $$$

18. Parkinson’s Law: Work expands to fill the available time. Just because you quit your job doesn't mean you'll magically have all of these hours.

19. If you're not currently doing whatever that thing is inside of you, you're not going to do it after you quit your job.

20. Startups are for masochists. If you want that life, I commend you. If you want a slightly less rocky path to ownership, buy a business instead of starting one.

And lastly, there are 2 types of people:

Those who build wealth through ownership. and those who work to make others wealthy.

The dividing line isn’t talent or luck. It’s action.

↓↓↓↓

P.S. If you have yet to take action in 2026 but are interested in becoming an owner...

Come to my business buying masterclass tomorrow. 

It's free. 90 minutes long. And walks you through how to find the right business for you.

Find all the details here: https://lnkd.in/g3V6NrTZ",https://www.linkedin.com/posts/codiesanchez_21-tips-to-be-the-first-gen-wealth-builder-activity-7419378896275533825-nAvR?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEpL_c4Bg9eunimDzYTl-fGDJEG9oOc_G3o
22,Codie A. Sanchez,1.4,2276,212,2636,Teacher,Leadership,Personal Perspective,Hook -> Reflection -> Close,,,,https://www.linkedin.com/posts/codiesanchez_activity-7408144207670075393-JTys?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAF2Y6NIBjLCR2LuAnrOyVuICWOB3FOWNFHE
23,Codie A. Sanchez,1.3,2249,243,2556,Teacher,Leadership,Thought Leadership,Hook -> List -> Insight,I remind myself of this often...,I remind myself of this often...  ↓↓↓  - I remember when I first got to hire a family member - Then do deals with a second - How I got to work with my,"I remind myself of this often...

↓↓↓

- I remember when I first got to hire a family member
- Then do deals with a second
- How I got to work with my dad at Contrarian Thinking
- How I took family on my first private plane
- How we gave my dad a truck

Not ever a brag such a blessing.

Builders, you building is the blessing. At least that’s what we believe at Contrarian Thinking… you!

(And if you're not a builder yet... come to MSM live and I'll teach you how to start: https://lnkd.in/gf6hPHdF)",https://www.linkedin.com/posts/codiesanchez_i-remind-myself-of-this-often-activity-7410318525313191936-x_o5?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
24,Codie A. Sanchez,1.3,1976,497,2526,Teacher,Finance / Money,Direct Advice,Hook -> List -> Insight,6 money-making truths you need to hear:,"6 money-making truths you need to hear:  1. Unapologetically chase your first $500K. Life is just easier up until you make about $500k, then it gradua","6 money-making truths you need to hear:

1. Unapologetically chase your first $500K. Life is just easier up until you make about $500k, then it gradually evens out. 

2. Get a job that pays you more if you do more, mimic everything the top performer does, until you can't possibly earn or learn more, then apply for a higher-paying job.

3. The fastest way to make your first million... Go be a crazy CEO's #2.

4. Saving won't make you rich.

5. Biggest mistake I made making money was waiting too late to start taking risk.

6. The key to getting rich rapidly? Live like you're poor. Increase your income. Use your income to buy cash-flowing assets.

↓↓↓↓

FYI - I'm having a biz-buying masterclass tomorrow if you want to stop by...

We're going to talk about how to buy the right business for you, why now is the time to buy, how to derisk your deal, and more.

Grab a spot here if you want to come and learn:    https://lnkd.in/e24qgbuh",https://www.linkedin.com/posts/codiesanchez_6-money-making-truths-you-need-to-hear-activity-7403796984421089280-MREy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
25,Codie A. Sanchez,1.3,2165,276,2518,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,A reminder that it’s ok to rise a lil earlier and grind a lil harder…,A reminder that it’s ok to rise a lil earlier and grind a lil harder…,A reminder that it’s ok to rise a lil earlier and grind a lil harder…,https://www.linkedin.com/posts/codiesanchez_a-reminder-that-its-ok-to-rise-a-lil-earlier-activity-7400896428140756992-isoU?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE0B4ksBsfe1athTetp5PvIHfXIajcjPH_c
26,Codie A. Sanchez,1.3,2015,397,2481,Teacher,Motherhood / Family,Direct Advice,Hook -> Insight -> Close,Oddly unpopular take:,Oddly unpopular take:  Don't apologize for chasing money.  If you are out there hustling... don't apologize for it.  You don't have to be interested i,"Oddly unpopular take:

Don't apologize for chasing money.

If you are out there hustling... don't apologize for it.

You don't have to be interested in brunch.

You don't have to slow down and chill.

You don't need to say yes to everyone.

It's okay if you're in your hustle season.

It's okay to be obsessed.

It is very hard to change the world when you are broke. It’s okay to ignore everything else until you fix that.

Work-life balance when you can afford life.",https://www.linkedin.com/posts/codiesanchez_oddly-unpopular-take-dont-apologize-for-activity-7409593935154753536-_E83?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABeLJ0cBRf9qmMzK70WZ_-qpueVG43towVA
27,Codie A. Sanchez,1.3,2010,411,2476,Teacher,Finance / Money,Direct Advice,Hook -> Story -> Lesson,Story from my dad today.,"Story from my dad today.  If you’re a business owner, it may hit you as deeply as it hit me...  He said, you know you’ve met another builder or doer w","Story from my dad today.

If you’re a business owner, it may hit you as deeply as it hit me...

He said, you know you’ve met another builder or doer when they’ve felt that flinch at the second Friday of the month.

My father has never bounced a check.

But he remembers this…

It was payday, his business was owed money, and they couldn’t bridge the gap between the two in time.

He could just picture the guys’ faces.

Those last two workers, who had done more than anyone else, stayed later than anyone else…

And they were about to be punished for that by not getting paid.

So he called up his banker, told him he needed a line of credit, and pulled out $100,000 give or take to make sure that every single one of their checks cleared.

At the time, my dad had a business partner who was a different type of guy.

He was the sort to make excuses, pay himself first, and not particularly care if everyone else’s checks cleared as long as he got his.

That partner has since had many businesses fail - and many more employees go without a paycheck.

And my dad has never in all these years had a business fail, or lost anyone a dime.

He often attributes his business success to the fact that he would never let his hardest working guys go hungry...

People will always be your biggest struggle and your greatest gift in business. Treat ‘em right.

↓↓↓↓

P.S. I’m hosting a free masterclass next week covering 4 practical growth levers that help maintain healthy cash flow and predictable payroll.

Sign up here (for free): https://lnkd.in/gSfvX_AF",https://www.linkedin.com/posts/codiesanchez_story-from-my-dad-today-if-youre-a-business-activity-7415040426514022400-l8FW?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEVV908BPUlPbdlwuoGi_61AFXdkeIH51OY
